hour,purchase bid,sell bid,mcv,fsv,mcp
15.0,6887.575000000001,13359.9,5751.6625,5751.6625,2773.6150000000002
16.0,7364.125,12501.325,6151.965,6151.965,2787.5175
17.0,8288.425,11350.975,7036.745,7036.745,2895.34
18.0,8438.3,10172.75,7138.89,7138.89,2943.0950000000003
19.0,10615.55,10323.15,8812.025,8812.025,3754.2275
20.0,12291.4,10766.775,9712.925,9712.925,4661.0675
21.0,8562.0,10553.475,7376.375,7376.375,3144.295
22.0,6185.925,11338.9,5523.175,5523.175,2680.6875
23.0,5145.325,12842.3,3841.225,3841.225,2508.46
24.0,5343.175,15437.775,4155.875,4155.875,2268.895
1.0,5381.225,17042.95,4511.95,4511.95,2051.3325
2.0,5923.625,20577.0,5069.325,5069.325,2039.0175
3.0,6253.1,21956.95,5444.6,5444.6,1999.345
4.0,6311.1,21814.550000000003,5511.25,5511.25,1979.005
5.0,6334.375,20340.825,5247.950000000001,5247.950000000001,2042.9075
6.0,6410.55,16750.3,5338.575,5338.575,2220.8824999999997
7.0,7872.825,12844.75,7053.975,7053.975,2642.4575
8.0,10870.075,11115.325,9428.675,9428.675,3549.285
9.0,12079.825,9126.375,8966.725,8966.725,5150.315
10.0,11400.15,8882.0,8555.465,8555.465,4295.1425
11.0,10840.75,8857.475,7944.525,7944.525,3999.9775
12.0,10228.625,9260.975,7545.975,7545.975,3627.77
13.0,9095.625,9630.15,6847.3425,6847.3425,3267.2825000000003
14.0,7071.45,11220.85,5929.0975,5929.0975,2799.91
15.0,6740.825,13229.45,5889.3,5889.3,2602.6725
16.0,7463.8,12702.025,6566.6425,6566.6425,2622.93
17.0,8413.125,11407.875,7242.995,7242.995,2865.6525
18.0,8605.375,9466.625,7170.2125,7170.2125,3025.6675
19.0,9997.75,9502.575,8582.55,8582.55,3632.8199999999997
20.0,11165.95,9987.9,9275.49,9275.49,4373.26
21.0,8034.75,10346.25,7012.575000000001,7012.575000000001,3026.235
22.0,5989.975,12233.3,5352.425,5352.425,2544.3575
23.0,5157.425,14693.725,4049.15,4049.15,2363.56
24.0,5882.275,17425.0,4574.425,4574.425,2300.9125
1.0,5718.6,15683.2,4504.95,4504.95,2178.815
2.0,5796.0,18881.175,4677.95,4677.95,2112.7125
3.0,5610.0,20152.35,4894.7,4894.7,1958.595
